category,title,also_buy,brand,rank,also_view,main_cat,Price,asin,details,descriptionstring
[],Bashful Billionaire; an Unauthorized Biography of Howard Hughes,[],Albert B. Gerber,"2,192,502 in Books (",[],Books,4.99,B000NWVJ8W,"{'Series:': 'Bashful Billionaire: An Unauthorized Biography of Howard Hughes by Albert B. Gerber | Lyle Stuart Inc. | 1967', 'Hardcover:': '384 pages', 'Publisher:': 'Lyle Stuart; 2nd printing edition (1967)', 'Language:': 'English', 'ASIN:': 'B000NWVJ8W', '\n    Package Dimensions: \n    ': '8.3 x 5.7 x 1.4 inches', 'Shipping Weight:': '1.2 pounds'}","This is the biography of an enigmatic, fascinating, mysterious, contradictory, multifaceted man who is so elusive that his photograph purportedly has sold at $1,000 a print. It is a strange saga of a diligent, inventive, ambitious, lad who parlayed a million dollars into a billion and a half - and lost money every step of the way. It is the story of a daredevil, industrial magnate, innovator, promotional wizard and lover of women...... Howard Hughes."
"['Books', 'Literature &amp; Fiction', 'Genre Fiction']",Vivir y morir en Dallas (Sookie Stackhouse) (Spanish Edition),"['8498003261', '8498004829', '161605073X', '1603968652']",Visit Amazon's Charlaine Harris Page,"877,176 in Books (",['8498003261'],Books,5.94,8466322914,"{'Series:': 'Sookie Stackhouse (Book 2)', 'Mass Market Paperback:': '336 pages', 'Publisher:': 'Punto de Lectura; Sookie Stackhouse 2 edition (April 1, 2009)', 'Language:': 'Spanish', 'ISBN-10:': '8466322914', 'ISBN-13:': '978-8466322911', '\n    Product Dimensions: \n    ': '5 x 0.8 x 7.5 inches', 'Shipping Weight:': '7.2 ounces ('}","When a vampire asks cocktail waitress Sookie Stackhouse to use her telepathic skills to find another missing vampire, she agrees under one condition: the vampires must promise to behave and let the humans that are involved to go unharmed. Easier said than done. All it takes is one delicious blond and one small mistake for things to turn deadly.,Spanish Description: <br /> Sookie Stackhouse esta pasando una mala racha: su companero de trabajo ha sido asesinado y ella es atacada por una criatura sobrenatural, pero afortunadamente los vampiros le salvan la vida. Cuando le piden que busque a uno de ellos, desaparecido en Dallas, Sookie no lo duda ni un momento. Eso si, pone una unica condicion: ningun humano debe ser danado. Pero eso es muy facil decirlo,Esta serie, transgresora en su planteamiento, rompe con la imagen tradicional de los vampiros y ofrece una nueva y fresca vision de los mismos.,,"
"['Books', 'Cookbooks, Food & Wine', 'Cooking Education & Reference']",In the Kitchen with Rosie: Oprah's Favorite Recipes,['1250126533'],Visit Amazon's Rosie Daley Page,"843,909 in Books (","['0091791197', '1250126533', '0743246268', '1400082544', '1936493837']",Books,5.98,B000XFWIBG,"{'Hardcover:': '142 pages', 'Publisher:': 'Knopf; 1 edition (August 1, 1994)', 'Language:': 'English', 'ISBN-10:': '0345243412', 'ISBN-13:': '978-0679434047', 'ASIN:': '0679434046', '\n    Product Dimensions: \n    ': '7.2 x 0.7 x 7.6 inches', 'Shipping Weight:': '12.8 ounces ('}","This is a celebrity cookbook with a heart-healthy edge. Brief anecdotes by Oprah and recipe prefaces by Daley, her cook, may lure Oprah watchers--not only have they seen her weight loss, now they can taste the foods that presumably helped to make it possible. Others will find her style obvious: ""I have thrived on pasta,"" Oprah confides. ""I can eat it every day."" Exclamation points abound: ""Forget iceberg!"" she exhorts in the introduction to salad recipes.""Experiment! . . . Delicious!"" Fortunately, Daley is a professional chef, trained at the Cal-A-Vie Spa, and her recipes are no mere fluff. Practical advice on preparations that add flavor while reducing fat reflect her spa experience, while suggestions for garnishes add visual interest. The numerous tips stretch the length of the book, too: just 50 recipes are featured in 134 pages. Typical of Daley's approach is the following paean to paella: ""In this beautiful dish jet-black mussels, pale gray clams, and vibrant red lobster tails lie on a bed of golden saffron rice, surrounded by chopped tomato and green peas, its flavor enhanced by the addition of squid rings and an assortment of peppers."" Photos not seen by PW. 400,000 first printing; advertising. <BR>Copyright 1994 Reed Business Information, Inc.,A cookbook from Oprah Winfrey's personal chef would no doubt be popular no matter what (proved here by the 200,000-copy first printing), but Daley in fact offers a number of zesty and creative recipes. Her professional background includes experience as a spa chef, and most of her dishes are sophisticated and elegant presentations-although there are also recipes for Un-Fried French Fries and Un-Fried Chicken. Many are highly spiced as well, substituting assertive flavor for fat. You'll probably need multiple copies.<BR>Copyright 1994 Reed Business Information, Inc."
"['Books', 'Comics & Graphic Novels', 'Comic Books']",Venom: Nights of Vengeance #3,"['B000O9RMA8', 'B000VK9XRA', 'B000O9TDZ0']",Marvel,"2,817,319 in Books (",[],Books,4.99,B002YBBWIC,"{'Publisher:': 'Marvel; 3 edition (October 1, 1994)', 'ASIN:': 'B002YBBWIC', '\n    Package Dimensions: \n    ': '10.4 x 2.8 x 0.2 inches', 'Shipping Weight:': '3.2 ounces ('}","Venom and Vengeance Hunted, Comic"
[],The Adventures Of The Bailey School Kids: Books 1 thru 5(5-Book Set),[],Debbie Dadey & Marcia Thornton Jones,"4,260,356 in Books (","['059043411X', '059045854X', '0590448226', '0590444778', '043956932X', '0439408326', 'B006R89BUY', '9994924559']",Books,59.99,B00BRNF9XC,{'ASIN:': 'B00BRNF9XC'},"You are buying 5 different titles:Pirates Don't Wear Pink Sunglasses, Cupid Doesn't Flip Hamburgers, Elves Don't Wear Hard Hats, Mummies Don't Coach Softball, Dragons Don't Cook Pizza."
"['Books', 'History', 'Middle East']",Echoes of War: The six day war 50 years later (The modern history of an old nation),['1722751703'],Amit Grinfeld,"1,385,950 in Books (",['1722751703'],Books,13.0,9655723666,"{'Series:': 'The modern history of an old nation', 'Paperback:': '116 pages', 'Publisher:': 'Amit Grinfeld (August 9, 2017)', 'Language:': 'English', 'ISBN-10:': '9789655723663', 'ISBN-13:': '978-9655723663', 'ASIN:': '9655723666', '\n    Product Dimensions: \n    ': '5.5 x 0.3 x 8.5 inches', 'Shipping Weight:': '5.8 ounces ('}","Amit Grinfeld is a licensed tour guide in Israel, with 10 years of experience. He has a BA degree in history and international relations from the Hebrew University of Jerusalem and an MA degree in Public Policy from Tel Aviv University. Amit has guided hundreds of groups including youth, Birthright, family tours, Christian pilgrims, VIP visitors in Israel, official guests of the Ministry of Foreign Affairs, Donors of the JNF, Journalists, press, army and police units and more. Most recently Amit has been invited to lecture on ""The Six Day War - 50 Years Later"" in communities throughout the United States. Amit is married and is a father of 2 young children. He serves in the IDF as a Staff Major in the home front command."
[],Party Confidential,[],"Lara/ Harrison, Elizabeth/ Vespa, Jeff (PHT) Morgenstern","11,136,555 in Books (",[],Books,7.97,B00676OGP6,"{'Publisher:': 'Little Brown & Co (September 30, 2011)', 'ISBN-10:': '0821257803', 'ISBN-13:': '978-0821257807', 'ASIN:': 'B00676OGP6', '\n    Package Dimensions: \n    ': '10.1 x 9.2 x 0.7 inches', 'Shipping Weight:': '2.3 pounds'}","Filled with a host of ingenious tips and suggestions, a colorful handbook by two event planners shares the secrets of throwing a fabulous and unique party to suit a variety of occasions, furnishing insider tricks, fashionable tips, and clever strategies o<br><b>Title: </b>Party Confidential<br><b>Author: </b>Morgenstern, Lara/ Harrison, Elizabeth/ Vespa, Jeff (PHT)<br><b>Publisher: </b>Little Brown & Co<br><b>Publication Date: </b>2006/11/03<br><b>Number of Pages: </b>173<br><b>Binding Type: </b>HARDCOVER<br><b>Library of Congress: </b><a href=""http://lccn.loc.gov/2005032288"" target=""Library of Congress"">2005032288</a>"
[],Forbidden Childhood: The Frank Account of a Girl's Struggle to Free Herself from the Strangle Hold of Her Tyrannical Father,[],Ruth Slenczynska,"4,027,818 in Books (",['0306800349'],Books,149.99,B0007DP05K,"{'Hardcover:': '263 pages', 'Publisher:': 'Doubleday; First Edition edition (1957)', 'Language:': 'English', 'ASIN:': 'B0007DP05K', 'Shipping Weight:': '1 pounds'}","I have a 1957 Doubleday & Company, Inc. book. It has the printed dusk cover in great condition. The book itself is in excellent condition. No bent pages. However, this book also has a signed autograph inscription by Ruth herself (dated August 9, 1963) in Honolulu. I also have a Concert Program of Ruth's, when she performed in the Vanda Room of The Ala Moana Hotel in Honolulu, dated Saturday, May 28, 1977."
[],Hall Of Fame - Shah Rukh Khan,"['8179910032', '0143330810', '0143419218', '0143330829', '8178092441', '0143063685', '0140138366']",Visit Amazon's Biswadeep Ghosh Page,"3,893,361 in Books (","['8187108576', '0199460477']",Books,42.61,8178092379,"{'Paperback:': '147 pages', 'Publisher:': 'Magna; 1st edition (2004)', 'Language:': 'English', 'ISBN-10:': '8178092379', 'ISBN-13:': '978-8178092379', '\n    Package Dimensions: \n    ': '8.1 x 5.3 x 0.4 inches', 'Shipping Weight:': '7.2 ounces ('}","Book by SHAH RUKH(Subject); Ghosh, Biswadeep KHA"
"['Books', 'Comics & Graphic Novels', 'Publishers']",Justice League of America No. 114 (100-page Giant),[],Visit Amazon's Len Wein Page,"5,047,796 in Books (",[],Books,28.99,B003R58P5M,"{'Comic:': '100 pages', 'Publisher:': 'DC Comics (1974)', 'Language:': 'English', 'ASIN:': 'B003R58P5M', '\n    Package Dimensions: \n    ': '10.5 x 6.9 x 0.2 inches', 'Shipping Weight:': '2.4 ounces ('}",Justice League comic
[],Biblical Basics for Believers,[],Troy S. Welch,"8,955,585 in Books (",[],Books,64.62,B000BRQ5PQ,"{'Paperback:': '223 pages', 'Publisher:': 'Brentwood Christian Press (1996)', 'ASIN:': 'B000BRQ5PQ', '\n    Package Dimensions: \n    ': '8.2 x 5.3 x 0.9 inches', 'Shipping Weight:': '12.8 ounces ('}",Excellent Book
[]," Books"" />","['0451462920', '0451462114']",,"1,518,449 in Books (",[],Books,32.68,B0018N2ZBK,"{'Publisher:': 'Viking Penguin (2004)', 'ASIN:': 'B0018N2ZBK', '\n    Package Dimensions: \n    ': '9 x 6.2 x 1.1 inches', 'Shipping Weight:': '1.2 pounds ('}","Marion Zimmer Bradley&apos;s beautiful book on ancient Atlantis, some research was obviously done , but it is fiction, great read!"
[],Ordeal By Fire,[],Lyn MacDonald,"2,038,884 in Books (","['014017866X', 'B000T3YN6K']",Books,30.0,B000NOC574,"{'Publisher:': 'The Folio Society; 1st edition (2001)', 'Language:': 'English', 'ASIN:': 'B000NOC574', 'Shipping Weight:': '2 pounds'}","Macdonald, Lyn. Ordeal by Fire: Witnesses to the Great War. London, The Folio Society, 2001. 16 cm x 24 cm. XVI, 312 pages. Original hardcover. Excellent condition with only very minor signs of external wear. Includes for example the following essays: The Battle of Mons / Kitchener's Army / The Battle of Loos / The Abandonment of Gallipoli / Autumn on the Somme / The Third Battle of Ypres etc,,"
[],How women can make money in the stock market,"['B0006BTYIM', '0821225197']",Colleen Moore,"1,436,127 in Books (",[],Books,19.99,B0006BVCS2,"{'Hardcover:': '176 pages', 'Publisher:': 'Doubleday; 1st edition (1969)', 'Language:': 'English', 'ASIN:': 'B0006BVCS2', '\n    Package Dimensions: \n    ': '8.4 x 5.5 x 0.8 inches', 'Shipping Weight:': '8.8 ounces'}","This books showcase how to make money in the market. This is a women -to -women guide. Its geared toward those investor with a limited amount to spend.,,"
[],A study of the tenant systems of farming in the Yazoo-Mississippi Delta,[],Ernest Augustus Boeger,"13,992,334 in Books (",[],Books,10.43,9332873410,"{'Hardcover:': '24 pages', 'Publisher:': 'Isha Books (2013)', 'Language:': 'English', 'ISBN-10:': '9332873410', 'ISBN-13:': '978-9332873414'}","Pages 24 It is the reproduction of the old book published long back(1916) We try our level best to give you perfect book but some time, due to old books some imperfections like missing or damaged Pages left in the book. These are due to the original artefact or left at the time of scanning. We found this book important for current readers who want to know about our old treasure so we brought them back to the shelves for you. We hope you will encourage us by accepting them in this reformed condition. We do not change the contents of the book just make it more readable by removing its yellow background. A coloured Dust cover with glossy Lamination is wrapped on the book. Print on Demand,,"
[],My Songs Amy Grant,[],Amy Grant,"6,731,827 in Books (",[],Books,5.69,B000J5FO66,"{'Publisher:': 'Word Music (1988)', 'ASIN:': 'B000J5FO66', '\n    Package Dimensions: \n    ': '10.8 x 8.8 x 0.7 inches', 'Shipping Weight:': '1.8 pounds'}","Large spiral bound book with many of Amy Grant&apos;s songs. Some titles are: Mountain Top, Beautiful Music, Father, What a Difference You&apos;ve Made and more."
[],"Great Illustrated Fairy Tales: Little Red Riding Hood, Goldilocks and the Three Bears, the Three Little Pigs, and Other Stories","['B0006PAPEK', 'B0006PB9VS', 'B000GKUP9U', 'B000GKYJUQ', 'B000K2YQJE']",Baronet Larkin,"5,190,868 in Books (","['1680524062', '1579657605', '1908478683', 'B0006PAPEK']",Books,6.68,B000MF6LXI,"{'Hardcover:': '239 pages', 'Publisher:': 'Baronet; 1st edition (1994)', 'Language:': 'English', 'ASIN:': 'B000MF6LXI', '\n    Package Dimensions: \n    ': '9.3 x 7.6 x 1.1 inches', 'Shipping Weight:': '1.2 pounds'}","This is a wonderful book filled with the classic tales of: Little Red Riding Hood, Goldilocks and the Three Bears and the Three Little Pigs, this is a must read bedtime story"
[],The Adventure of Being You,[],Robert James St. Clair,"14,133,578 in Books (",[],Books,1.99,B000O3S0T6,"{'Publisher:': 'Fleming H. Revell Company; First Edition. First Printing. edition (1966)', 'ASIN:': 'B000O3S0T6'}",Affirmation of Christian Existentialism
[],The Lennon Sisters: Same Song - Separate Voices,[],Dianne Lennon,"3,947,713 in Books (","['B000AORS9M', '0915677105', '0280740204', 'B0018L4ZLU']",Books,22.87,B0014EAP3I,"{'Paperback:': '367 pages', 'Publisher:': 'Lennon Publishing; 1st edition', 'Language:': 'English', 'ASIN:': 'B0014EAP3I', '\n    Package Dimensions: \n    ': '9 x 5.9 x 1 inches', 'Shipping Weight:': '1 pounds'}","In this 367 page book, The Lennon Sisters, Dianne, Peggy, Kathy, and Janet, share their memories of growing up and becoming a famous family singing group. From the foreword: ""In our profession we have followed the path established by The Boswell Sisters, The Andrews Sisters, The King Sisters, and the Maguire Sisters. Each has a different sound, exuding its own energy and personality. But all of us are part of a twentieth-century musical phenomenon, 'the recorded group sound'. We four sisters have been performing our unique style of harmony for over thirty years. Though we have spent most of our lives singing together, we are also individuals with different personalities and separate achievements. If nothing else, this book serves as a testament to our parents and our families. It is intended for our audiences, those who have watched us growing up before their eyes on their television screens. Our memories have served us well, too. We tell as much as we are able. We are great talkers, and admittedly we've written as we speak. We're proud of our book. We're proud of ourselves for completing it. It has been good therapy, and after so many hours, days, weeks, and years, we are proud to say we are still friends. Finally, this is it! It is finished! It has been ours for years, Now it is yours."" From the rear cover: ""Maybe we took family attachment too far. But, in growing, we found ourselves drawing enormous strength from being together. I never realized it was so special. We are open to and experience changes. Sometimes the changes are abrupt and painful, other times subtle, many times joyful.....we are aware of our special bond."""
"['Books', 'Computers &amp; Technology', 'Operating Systems']","Deployment Fundamentals, Vol. 6: Deploying Windows 10 Using Microsoft Deployment Toolkit","['1782172491', '9187445034', '1119035589', '9187445093', '1617294160', '0735684448', '9187445166', '1617291684', '0672337908', '1119258456', '1617291161', '9187445182', '9187445085', '0672337789', '0735684189', '1533314756', '1786462826', '1509302484', '1617295094', '1449320686', '9197939080', '1118289420', '1617291196', '0997615605', '1787122042', '0134583752', '0672337150', '1500734756', '9332502218', '1119348978', '0789754746', '1449320023', 'B01H7M6YKI', '1509302956', '1119359147', '1587205882', 'B01M4LEEME', '1633430294', 'B011M32RLI', '1119252245', '0470277645', '1587205815', '1451570031', 'B00NH12O5I', '1785289748', 'B003NREDC8', 'B003VANO7C', '9187445050', '1785889303', '1508712905', '9187445174', '0470600314', '0672336103', '111882170X', '0735625166', '1118128982', '1785883836', '1119355257', 'B003AYN834', 'B01N0LMWGQ']",Johan Arwidmark,"599,356 in Books (","['1782172491', '1119035589', '9187445034', '9187445182', '1786462826', '9187445093', '1617294160', '9187445166', '0735684448', '9197939080', '0672337908', '1787289354', '1451570031', '1617291684']",Books,38.25,9187445212,"{'Paperback:': '302 pages', 'Publisher:': 'Deployment Artist (January 1, 2016)', 'Language:': 'English', 'ISBN-10:': '9187445212', 'ISBN-13:': '978-9187445217', '\n    Product Dimensions: \n    ': '8 x 0.6 x 10 inches', 'Shipping Weight:': '12.6 ounces ('}",","
"['Books', 'History', 'Military']",The Age Of Steam...Part One and Part Two...2 Volume Set,[],John Van Duyn Southworth,"8,609,081 in Books (",[],Books,23.47,B000OU97U0,"{'Hardcover:': '827 pages', 'Publisher:': 'Twayne (1970)', 'ASIN:': 'B000OU97U0'}","The Age Of Steam by John Van Duyn Southworth.,,"
"['Books', 'Comics & Graphic Novels', 'Manga']",Aqua Bless (Hentai Manga) by Yamatogawa (6-Jan-2015) Paperback,"['1634420861', '1634420926', '1634420349', '1634421175', '1634420799', '1626923760', '1624593178', '1634421000', 'B00HTJSMXC', '1634420403', '1634420322', '1934075183', '1634420543', '1626923892', '1626925143', 'B07DY2M7H5', '162692452X', '1934075353', '1634420527', 'B06XBGPLNH', 'B00QMNZWBG', '1624592651', '1626925321', '1634420659', '194780426X', '1606998242', '1624590667', '1634420608', '1934075299', '0316480622', '1626926921', 'B00IEJ59MI', '1634420756', '2351807138', '1624591280', '1626925852', 'B075KZDKSL', '0972825894', '194780412X', '1624590276', '1626926093', 'B004AAU0P6', '1624592430', 'B071RHTNCT', '1626923612', '1624593194', '1624590020', '162459025X', '1624591124', 'B01M0N0U7R', '163442042X', '1626928312', '1624590489', '194780409X', '1624591108', '0972825843', 'B071V5M1N1', '1975302001', '1975327535', '1772940488', 'B07D5185K9', '031643972X', '1624592953', '097282586X', '1947804049', '1626929068', '1624590314', 'B06XSVZBTC', '1626929335', '1626927588', '162692760X', '1626924015', '1626923167', '1632365065', '1624590500', '1934075094', '1626927049', '1624590357', '0316480088', 'B073ZWDZWR', 'B07BZ4561K', '1624590292']",,"645,113 in Books (","['1634420861', '1634420543', '1634420799', '1634420926', '2351807138', '1634420659', '1634420403', '1624593194', '1634420349', '1624593178', '1606998242', '1626923760', '1634421574', '1634421000', '163442042X', '1634421175', '1624591280', 'B07JJGZW2H', '1624590667', 'B00QMNZWBG', '1624592430', 'B06XBGPLNH', '1624592651', '1934075183', '1626923612', '1624591302', '1634420322', 'B01M0N0U7R', '1634420527', '1626926093', '1624590489', '1624590276', '1624591140', 'B075KZDKSL', '1624591124', '1624590020', 'B004AAU0P6', '8877593687', 'B07H657X8S', '194780409X', '1634420608', 'B07DY2M7H5', 'B071V5M1N1', '1624592953', '1626925852', '1626925143', '2351807847', '1934075094', 'B0794MCD86', '1975327535', '1624591590', '162459025X', '1624591108', '1624591582']",Books,12.99,B011T7OCQU,"{'Publisher:': 'Project-H LLC; 2 edition (6 Jan. 2015) (1600)', 'ASIN:': 'B011T7OCQU'}",Aqua Bless features story and art by Yamatogawa. Aqua Bless contains nine stories filled with equal doses of comedy and romance. Travel and Love - a new couple wins an island getaway and makes love on the beach. Train Woman - a young man cross-dresses to ride the women-only train but is surrounded by female molesters.
"['Books', 'Religion & Spirituality']",The Lord is My Shepherd (Pack of 25),"['1682163253', 'B008A7D3ZE', '1682161781', '1682163431', 'B008A7D48K', '1682163423', 'B004UAW6MG', 'B000TD4XLU', 'B006CEIJ6A', 'B00UFS22EE', 'B00AADAG6K', 'B004O41T76', 'B008A7D4M6', 'B008A7D4SA', 'B00NEN8EE4', 'B00AADAFQG', '1682160238', '1682162125', '1682161579', '1682163113', '168216313X', '1682161897', 'B00AADAFNY', 'B008A7D3RC', '1682163385', '1682161722', '1682160084', '1682163105', 'B00HJHKDNG', 'B008A7D47Q', '1682163504', 'B008A7D47G', 'B006CEEY3M', '0849922402', '1682163512', 'B00X3DC62Q', '1682161161', '1682163482', '1682162516', 'B00CO5D4LQ']",Good News Tracts,"787,402 in Books (","['1682163253', 'B008A7D4M6', '1682163431', '1682161781', 'B008A7D3ZE', '1682163423', 'B004UAW6MG', 'B006CEIJ6A', 'B000TD4XLU', 'B004O41T76', 'B008A7D48K', '1682162346', '1682162125', 'B00UFS22EE', '1682161579', 'B008A7D4SA', 'B00AADAG6K', 'B008A7D47G', '1682160084', '1682160238', '1496433483', '1682160033', '1682162028', 'B00NEN8EE4', '1682161722', '1682163113', 'B00AADAFQG', '1622454545', '0718037901', 'B00AADAFNY']",Books,2.99,B00X3DC6CQ,"{'Publisher:': 'Crossway; Redesign edition (October 31, 2015)', 'Language:': 'English', 'ASIN:': 'B00X3DC6CQ', '\n    Package Dimensions: \n    ': '5.2 x 3.4 x 0.2 inches', 'Shipping Weight:': '1.6 ounces ('}",Quotes the 23rd Psalm and explores what Jesus as the Good Shepherd means for a person's eternity. Large print.
[]," Books"" />",[],Oliver North,"1,722,078 in Books (",[],Books,68.0,B001Q6OSTQ,"{'Publisher:': 'Broadman & Holman (2005)', 'ASIN:': 'B001Q6OSTQ', '\n    Package Dimensions: \n    ': '9.1 x 6.3 x 1.4 inches', 'Shipping Weight:': '2 pounds'}",The Peter Newman Trilogy: Mission Compromised / The Jericho Sanction / The Assassins Hardcover  2005 by Oliver North (Author)
"['Books', 'Engineering & Transportation', 'Transportation']",Hear the Train Blow: A Pictorial Epic of America in the Railroad Age,[],Lucius Beebe,"2,837,661 in Books (",[],Books,52.5,B00005XFFB,"{'Hardcover:': '415 pages', 'Publisher:': 'E. P. Dutton; 1st edition (1952)', 'Language:': 'English', 'ASIN:': 'B00005XFFB', '\n    Package Dimensions: \n    ': '11.1 x 8.5 x 1.4 inches', 'Shipping Weight:': '3.2 pounds ('}","Lucius Beebe and Charles Clegg are well known railroad historians and it is easy to see why when you look at this book. It&apos;s 415 pages are full of entertaining history, folklore and railroad anecdotes illustrated with 870 photos and prints. Nearly every page has multiple pictures and they are big pictures, too, not &quot;thumb nails.&quot; The articles tend to be short, mostly one or two pages including the illustrations."
[],My Father's Heroic Quest to Save 149 World War II POWs Behind Nazi Lines (Hardback) - Common,[],Andrew Gerow Hodges Jr. and Denise George,"2,039,477 in Books (",['0425276473'],Books,5.08,B015M0C40G,"{'Publisher:': 'Berkley (2015)', 'ASIN:': 'B015M0C40G'}",Excellent Book
"['Books', 'Crafts, Hobbies & Home', 'Crafts & Hobbies']"," Books"" />",[],Fran Rohus,"10,651,783 in Books (",[],Books,13.99,B002L0C514,"{'Paperback:': '14 pages', 'Publisher:': 'The Needlecraft Shop (1997)', 'Language:': 'English', 'ASIN:': 'B002L0C514', '\n    Package Dimensions: \n    ': '8.4 x 5.8 x 0.7 inches', 'Shipping Weight:': '12.6 ounces'}",Contains patterns for beautifully displaying words of encouragement on 7-count plastic canvas.
"['Books', 'History', 'Military']",Lions of Kandahar: The Story of a Fight Against All Odds by Rusty Bradley (Jun 28 2011),"['1416580514', '1501127241', '0061661228', '0316341436', '0525955054', '0062066390', '1250030404', '1250045444', '0306824833', '0307730697', '0812993403', '125008296X', '1455582271', '0062066404', '1455516244', '0451475623', '1501127268', '1501145037', '1250088356', '0061661236', '0316185396', '0553803638', '0425196097', '1250129931', '0062290797', '0812983610', '1476761914', '1621577341', '1416574719', '1501124110', '1250070295', '1250014549', '0525953728', '006224969X', '1250102995', '1588345890', '0871137380', '031269945X', '0316185361', '1250121159', '1455516236', '0804139512', '0307730700', '1101984333', '1478948183', '0451494687', '0062114980', '1501178512', '0425245268', '1250036224', '0425223728', '0316067598', '0991286529', '0425226190', '0307339386', '1400068746', '0553804022', '031618540X', '0804139539', '0307339394', '1250070597', '1981090878', '1250072719', '1401324797', '0451475631', '1250112001', '0316342246', '1250080606', '0316067601', '0975355279', '1250183863', '1501179950', '0805066322', '0553586807', '0425247589', '1451623615', '0062208314', '0425252698', '1519596367', '0891418725', '0316185388', '1612005802', '1250144930', '1451623607', 'B077ZH9PP7', '1594204802', '1250006473', '0312384394', '0316040932', '0385732511', '0991324854', '0312353324', '0425236579', '0316341444', '0891415440', '0609609874', '1591149657', '1591844754', '1455585661']",aa,"651,536 in Books (","['0062066404', '1101984333', '1501179950', '0307730700', '0061661236', '1250070295', '1501127268', '0306903180', '1455516236', '0812983610', '1250080606', '0316341444', '0451475631', '006224969X', '1981090878', '0804139539', '0553586807', '0451468740', '1250144930', '0991324854', '0316067601', '031618540X', '0425236579', '0316185388', '1455538442', '080214473X', '0425207870', '038573252X', '0307339394', '1501145045', '1250130298', '1250055091', '1586483528', '0999293796', '1621577341', '1416596607', '0062238868', '0312353332', '0998900508', '1250102588', '0062668781', '1682614832', '1519596367', '1476761914', '0425253406', '1250105471', '1250006473', '0306815737', '1250121159', '0425253600', '1533330271', '0307450767', '1612542085', '0060583010', '089141875X', '0692605053', '1980971463', '1451623615', '1478948191']",Books,83.23,B00DEKKBUW,"{'Publisher:': 'Bantam; 46565th edition (1994)', 'ASIN:': 'B00DEKKBUW'}","Will be shipped from US. Used books may not include companion materials, may have some shelf wear, may contain highlighting/notes, may not include CDs or access codes. 100% money back guarantee."
[],the American Gun Winter 1961 Vol.1 No. 1,[],Herb Glass and Larry Sheerin,"7,621,646 in Books (",[],Books,31.5,B005BRV8G2,"{'Publisher:': 'Herb Glass and Larry Sheerin (1961)', 'ASIN:': 'B005BRV8G2', '\n    Package Dimensions: \n    ': '13.3 x 10.1 x 0.6 inches', 'Shipping Weight:': '1.8 pounds ('}","The American Gun magazine Volume One - Number One issued December 1, 1960, published quarterly by Madison Books Inc. Contents include: Cold Harbor by Clifford Dowdey - Artillery on Land and Sea by Robert Bruce - Bareback Gunfighters by Paul I. Wellman - The Repeater Lincoln Tested by Harold L. Peterson - A Personal Reminiscence by Vesta Spencer Taylor - Swords from Ploughshares by Foster Harris - The Collection of William O. Sweet photographed by Carl Fischer - The Passion of Pocket Pistols by James E. Serven - Badman Harry Tracy by Alan Hynd - Some Made It Hot by Ken Purdy - Safari in the Rockies by Larry Koller - The Commotion on Balsam Ridge by Wallace Grange - Great Guns of the Sixties by The Editors - The Winchester Model 100 by Ken Janson - Waterfowl of the Outer Banks by Raymond Camp - and The Final Protective Line by Marshall Andrews."
[],UnPlugged and More (MTV Unplugged and Radio Show '81),[],The Cure,"14,104,749 in Books (",[],Books,37.33,B002JC9MLA,"{'ASIN:': 'B002JC9MLA', '\n    Package Dimensions: \n    ': '5.7 x 5 x 0.7 inches', 'Shipping Weight:': '7 ounces ('}","19 Track Music CD. Run time 72:30. 7 Tracks from MTV Unplugged Limehouse Studios London 3/3/1991. 12 Tracks Werchmter Rock Festival Belgium 5/7/81- Radio Show. Disc Labeled ""The Love Cats"""
"['Books', 'Science & Math', 'History & Philosophy']","Algebra II, STUDY WORKBOOK (The Great Courses, The Teaching Company)","['B0028PMSMS', 'B001S51VFO', 'B001I9TG6G', 'B001D3IU5U', 'B004V4HR7A']",The Teaching Company,"472,804 in Books (",['B0028PMSMS'],Books,99.97,B0056KMI7W,"{'Workbook:': '96 pages', 'Publisher:': 'The Teaching Company (2005)', 'ASIN:': 'B0056KMI7W', '\n    Package Dimensions: \n    ': '10.9 x 8.5 x 0.3 inches', 'Shipping Weight:': '11.2 ounces'}","Algebra II, STUDY WORKBOOK
Contains 30 individual lessons with answers on: polynomials, factoring, linear equations, linear inequalities, correlation, slope, intercepts, graphing equations, solving systems, functions, quadtratic, polynomial division, rational functions, square roots and cube roots, exponential functions, logarithmic functions, matrices and determinants, sequences, trigonometry"
